,subCat0_ggh,subCat1_ggh,subCat2_ggh,subCat3_ggh,subCat4_ggh,subCat0_vbf,subCat1_vbf,subCat2_vbf,subCat3_vbf,subCat4_vbf
jer2_up,0.9999837140930412,0.9999803315063996,1.0000721990485195,0.9999664420400296,0.9993509745959068,1.0011364084516816,1.0000326276659748,1.0000512535237631,0.9996605756073618,0.9997624275440422
jer3_up,0.9998466014059364,0.9998304809330072,1.0001794804799404,1.0006692641740735,0.999491902533444,0.9999081474026404,0.9998618136797444,1.000062184999022,1.00001678568568,0.9999909851583576
jer4_up,1.0000847181507988,0.9999970531909228,1.0000152723878402,0.9998384721370508,0.9991082995185236,1.0008857787718386,1.000394433740572,1.0000393480334555,0.9996970745731912,0.9994574609452284
jer5_up,0.999684142572954,0.9993194009874752,1.000476538705489,1.0019653348072093,1.000337378733768,0.9987651344386804,0.9982461718802188,0.9997291185796536,1.0010982371427124,1.0017457710441071
jer6_up,1.0000271612328369,1.0000545707637656,1.000021317901162,0.9998831751476928,0.9987785108242488,1.0006584829273095,1.0005352782482266,1.0001683999191266,0.99968345638554,0.9990464977011494
RelativeBal_down,0.9990248983728068,0.9978468071000636,1.0007157012971235,1.0093474301188372,1.0052638870619413,0.9975489113774864,0.9941283026118408,0.9977178127796258,1.00503614544186,1.0070738778653363
HF_down,1.0008144746038543,1.0018540832312155,0.9992584671947194,0.9924997237405024,0.9963645515133612,1.0025074075722535,1.0034955509935608,1.0003438837361145,0.9965493855463472,0.9989696765041424
HF_2016_down,1.0000640836106502,1.0001395544401832,0.9999038038286172,0.9995842529882872,0.9999517732473456,1.0001408839402703,1.0002162954815548,1.0000370616343384,0.9997490724909718,0.9999523266174686
Absolute_2017_down,1.0001105412666784,1.0005795378427715,0.9998208082614805,0.9977323089135556,0.9996687278407326,0.9994825612625464,1.0009758916224452,1.0000161926105708,0.9992526500900042,1.0002224905864738
BBEC1_2017_down,0.999953389517808,1.000078572216886,0.9999823552767958,0.9996688728612684,1.000747665548248,0.999515662988913,1.0000360963869233,1.0000162742604244,0.9999747277920452,1.0001859083126146
EC2_2016_down,1.0001331391034418,1.0002708715125093,0.9998130612428968,0.9991311703756036,0.9999770882574308,1.0000721817023543,1.000286366064606,0.9999857848835444,0.9997194863998758,1.0001036074805485
HF_2018_down,1.0001134938584304,1.0002736601007638,0.9998617901287016,0.9990241523330168,0.9996666274324216,1.000386489694442,1.0003812125344036,1.0000813525241188,0.9995144970584204,0.9998653944943312
RelativeSample_2018_down,0.9996490864619556,0.9988283779922206,0.9997916307302817,1.0082351881039535,1.001472516808135,1.001682581423349,0.9954755755464167,0.9978130920405393,1.0042957148817242,1.004353740320158
EC2_2018_down,1.0000585388143564,1.0004081249446888,0.9998173239054196,0.9989638823964104,0.9993379503130042,1.0000802119130892,1.0000261663029175,1.0001503220386765,0.9995505684377574,1.000157172732611
EC2_down,1.0005077339034112,1.00089385221093,0.9994909797142736,0.9965463989568342,0.9988586895275864,1.0014656059928018,1.001343765965745,1.0000207469118991,0.99859557025337,0.9998062362706736
BBEC1_down,0.9994463179657824,0.999919102791221,1.0004300367914227,0.9994620103262748,1.002815882888373,0.9986125077489794,0.9999950709868138,1.000200848598728,0.9996987497022366,1.0005390126194889
HF_2017_down,1.0000710139435625,1.0002073470409292,0.999932723611812,0.999277368734734,0.9992423853531592,1.0002425031740323,1.000383267955906,1.000008940501934,0.9996844606138128,0.9998943962654646
RelativeSample_2016_down,0.9995320179040614,0.9993239464031132,1.000604479858031,1.0012254259286402,1.0023116767064204,0.9975490196281012,0.9982583325413832,0.9997355458755102,1.0010872728885831,1.0023249417086313
BBEC1_2016_down,1.000019410580746,1.0000225688477722,1.0000396826868825,0.999500939770177,1.000194872254789,0.99950189821735,1.0000408130508158,1.0001055428880483,0.9999181095561837,1.000006703459976
Absolute_2018_down,0.9995948546941944,0.9997786060653644,1.0006194202744705,0.999319281749812,1.00002333377261,0.9982769362641034,0.999415255352749,1.0005131356767205,0.9996414683160584,1.0005152888575852
Absolute_2016_down,0.9999730123995764,1.0001542429174322,1.0000287852401233,0.9990268373670425,1.0004449758585896,0.9987961208514664,1.0003645509434818,1.0001862495818177,0.999672651491438,1.0001144417237418
EC2_2017_down,1.0002364118030147,1.000575722145616,0.9997015386169044,0.9979055423333996,0.9995907318624154,1.0000274406825849,1.0007233106129063,1.000061837815305,0.9991882028835002,1.000201577361142
BBEC1_2018_down,0.9999935815884496,1.0000448250444378,0.9999939508412063,0.9998076185875324,1.0000917586150029,0.9996420106768436,0.9999386970421098,1.0001039289244755,0.9998492443272105,1.000161271445685
FlavorQCD_down,0.9985311530402354,0.9995743876737052,1.0024220453464543,0.9936672998245356,1.0028745460720814,0.9933654276831124,1.0006434951805443,1.0020353534491335,0.9968013344545928,1.001260900920865
RelativeSample_2017_down,0.9991950830982858,0.9986308741146688,1.0006451413837183,1.0056785739601943,1.0033171397494125,0.9977504016373264,0.9962192853293828,0.9991386379377316,1.003130049896687,1.0032443875548054
Absolute_down,1.000248559467484,1.0024091859250912,1.000376898336642,0.9855096405952884,0.9969758428100068,1.0002931516781048,1.0059461199444804,1.0014113998720604,0.99328094429953,0.99900743952963
jer1_down,0.999464135909301,1.0002532794543588,1.000001700035376,1.0006511599620034,1.0014650119359283,0.9973417661703204,0.9994729525463092,1.000190052805625,1.0005100693976603,1.0005681753689033
jer2_down,0.9999774011421227,1.0001101965939518,0.9997763477595766,1.0006365236025987,1.000657240553218,0.999100460780808,0.9997185329176176,0.999841217138982,1.000291741206598,1.0007935636919845
jer3_down,1.0001028177091456,1.000192588383724,0.9996865660542056,1.0001649300624051,1.0006963487365443,0.999543167518334,0.9997901891904762,0.9995961159428712,1.0002392365834865,1.0013031363067777
jer4_down,0.999964642240262,0.9999845772038451,1.0000185930812404,0.9999990334807825,1.0003910901519286,0.999611778959926,0.99957138084323,1.0001262813612837,0.9999589862710369,1.000359997784694
jer5_down,1.00019501629073,1.00041005404239,0.99956272837925,0.9994941278828576,1.000336013523779,0.999277703003642,0.9999046843407616,0.9992629322611384,1.0000728203737603,1.002543587668135
jer6_down,1.000000620844497,0.9999913047139446,1.0000090623502134,0.9998127393066631,1.0005266795982175,0.9995588808054628,0.9998556305727876,0.999931486863835,1.0001326633209071,1.0003840835877698
